text,full_text,reply_count,retweet_count,favorite_count,source,created_at,entities,quote_count,quoted_status,id
RT @Ahmad__Atallah: الصرافة عم يلعبوا بالدولار، البنوك نهبت اموالنا، الدولة عم تسدد ديون فسادها من جيوبنا.. المعاشات نزلت والاشغال توقفت وا…,RT @Ahmad__Atallah: الصرافة عم يلعبوا بالدولار، البنوك نهبت اموالنا، الدولة عم تسدد ديون فسادها من جيوبنا.. المعاشات نزلت والاشغال توقفت وا…,0,0,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Thu Nov 28 17:07:39 +0000 2019,{},0,,1200098941401993217
"RT @Bilal74064209: 30 سنة حاكمين البلد 
30 سنة شركاء الفاسدين
30 سنة سرقة
30 سنة لعب بأمول الشعب 
30 سنة مربحين الشعب جميلة
30 سنة ماصين دم…","RT @Bilal74064209: 30 سنة حاكمين البلد 
30 سنة شركاء الفاسدين
30 سنة سرقة
30 سنة لعب بأمول الشعب 
30 سنة مربحين الشعب جميلة
30 سنة ماصين دم…",0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Thu Nov 28 14:17:33 +0000 2019,{},0,,1200056136583598081
RT @lucienbourjeily: هيدا الذل للمودعين الصغار (وحرمهم من التصرف بودائعهم ومدخراتهم) بيستحق لوحده ثورة عالمصارف وسياساتها غير القانونية وغي…,RT @lucienbourjeily: هيدا الذل للمودعين الصغار (وحرمهم من التصرف بودائعهم ومدخراتهم) بيستحق لوحده ثورة عالمصارف وسياساتها غير القانونية وغي…,0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Thu Nov 28 14:06:25 +0000 2019,{},0,,1200053334918516736
"RT @LaraJBitar: TT: ""88 EDs directly responsible for current banking situation. They gambled w/ our money &amp; took growing risks to maximize…","RT @LaraJBitar: TT: ""88 EDs directly responsible for current banking situation. They gambled w/ our money &amp; took growing risks to maximize…",0,0,0,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",Thu Nov 28 09:47:05 +0000 2019,{},0,{},1199988072877821952
RT @Marwa_Laham: @fransabank @FransabankGroup are taking 6 $ for every 1000$ withdrawn. They are charging us for giving back our money !!!…,RT @Marwa_Laham: @fransabank @FransabankGroup are taking 6 $ for every 1000$ withdrawn. They are charging us for giving back our money !!!…,0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Wed Nov 27 21:16:42 +0000 2019,{},0,,1199799228844912641
"RT @JoeRaad: من وقت ما توفي بيي ما حدا عطاني خرجية
اليوم صرت عم باخد مصروفي من البنك
٣٠٠ دولار بالاسبوع
بدكن تعيشونا تقشف؟ نحن من زمان تقشف…","RT @JoeRaad: من وقت ما توفي بيي ما حدا عطاني خرجية
اليوم صرت عم باخد مصروفي من البنك
٣٠٠ دولار بالاسبوع
بدكن تعيشونا تقشف؟ نحن من زمان تقشف…",0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Wed Nov 27 15:44:26 +0000 2019,{},0,,1199715612072824832
RT @HishamBahmad: This should be done against any Lebanese Bank that takes advantage of the economic situation to impose specific terms and…,RT @HishamBahmad: This should be done against any Lebanese Bank that takes advantage of the economic situation to impose specific terms and…,0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Wed Nov 27 13:42:58 +0000 2019,{},0,{},1199685045310623744
"RT @error_510: ان الاحترام المبني على الخوف زائل و يصير انتقام يوم يضعف مسببه و سيضعف يوما ما!
 و ان الاحترام المبني على حب يكبر مع زمن و ي…",,0,0,0,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Sat Nov 02 22:45:04 +0000 2019,{},0,,1190761771214217216
"RT @RaniaKhalek: “Listen listen you Americans, my country’s people will not kneel, neither sanctions nor a siege nor to colonial directives…","RT @RaniaKhalek: “Listen listen you Americans, my country’s people will not kneel, neither sanctions nor a siege nor to colonial directives…",0,0,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Mon Nov 25 11:52:00 +0000 2019,{},0,,1198932344243204097
"RT @RaniaKhalek: ""Why   #DownWithTheRuleOfTheBank? Because it will also bring down all the beneficiaries of the current system of looting,…","RT @RaniaKhalek: ""Why   #DownWithTheRuleOfTheBank? Because it will also bring down all the beneficiaries of the current system of looting,…",0,0,0,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Mon Nov 25 11:52:27 +0000 2019,{},0,{},1198932457665503232
